player_id,player_name,season,trade_date,team_from,team_to,pre_games,post_games,pre_min,post_min,delta_min,pre_fgm,post_fgm,delta_fgm,pre_fga,post_fga,delta_fga,pre_fg_pct,post_fg_pct,delta_fg_pct,pre_fg3m,post_fg3m,delta_fg3m,pre_fg3a,post_fg3a,delta_fg3a,pre_fg3_pct,post_fg3_pct,delta_fg3_pct,pre_ftm,post_ftm,delta_ftm,pre_fta,post_fta,delta_fta,pre_ft_pct,post_ft_pct,delta_ft_pct,pre_oreb,post_oreb,delta_oreb,pre_dreb,post_dreb,delta_dreb,pre_reb,post_reb,delta_reb,pre_ast,post_ast,delta_ast,pre_stl,post_stl,delta_stl,pre_blk,post_blk,delta_blk,pre_tov,post_tov,delta_tov,pre_pf,post_pf,delta_pf,pre_pts,post_pts,delta_pts,pre_plus_minus,post_plus_minus,delta_plus_minus,pre_ts_pct,post_ts_pct,delta_ts_pct,pre_usg_rate,post_usg_rate,delta_usg_rate
1629655,Daniel Gafford,2023-24,2024-02-08,WAS,DAL,45,29,26.4444,21.4483,-4.9962,4.5111,5.0,0.4889,6.5333,6.4138,-0.1195,0.7067,0.7107,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8667,1.1724,-0.6943,2.6444,1.931,-0.7134,0.5892,0.3184,-0.2708,2.9111,2.2069,-0.7042,5.1111,4.7241,-0.387,8.0222,6.931,-1.0912,1.5333,1.5862,0.0529,0.9778,0.7241,-0.2536,2.1556,1.931,-0.2245,1.0222,0.9655,-0.0567,3.2667,2.7586,-0.508,10.8889,11.1724,0.2835,-4.1333,2.931,7.0644,0.7074,0.7691,0.0617,76.7745,91.5306,14.7561
1629023,P.J. Washington,2023-24,2024-02-08,CHA,DAL,44,29,29.25,32.1724,2.9224,5.1591,4.3793,-0.7798,11.5682,10.4138,-1.1544,0.4138,0.4053,-0.0085,1.7955,1.8276,0.0321,5.5455,5.8276,0.2821,0.3,0.2923,-0.0077,1.5227,1.1034,-0.4193,2.1364,1.7586,-0.3777,0.4459,0.4,-0.0459,1.2045,1.1034,-0.1011,4.0682,5.069,1.0008,5.2727,6.1724,0.8997,2.2045,1.5172,-0.6873,0.8636,1.1724,0.3088,0.7273,0.931,0.2038,1.5,1.0345,-0.4655,2.5455,1.9655,-0.5799,13.6364,11.6897,-1.9467,-6.5682,5.3793,11.9475,0.5451,0.5224,-0.0227,117.5125,90.6305,-26.882
202330,Gordon Hayward,2023-24,2024-02-08,CHA,OKC,25,26,31.92,17.2692,-14.6508,5.56,1.8462,-3.7138,11.88,4.0769,-7.8031,0.4531,0.4167,-0.0364,0.88,0.5769,-0.3031,2.44,1.1154,-1.3246,0.3233,0.2949,-0.0284,2.48,1.0385,-1.4415,3.24,1.5,-1.74,0.5869,0.3436,-0.2433,1.0,0.5,-0.5,3.68,1.9615,-1.7185,4.68,2.4615,-2.2185,4.64,1.6154,-3.0246,1.12,0.4615,-0.6585,0.48,0.0385,-0.4415,2.04,0.5769,-1.4631,1.84,0.8077,-1.0323,14.48,5.3077,-9.1723,-5.32,-0.0385,5.2815,0.5441,0.5602,0.0161,117.9639,73.227,-44.7368
202681,Kyrie Irving,2022-23,2023-02-06,BKN,DAL,40,20,36.925,38.15,1.225,9.95,9.8,-0.15,20.475,19.2,-1.275,0.4854,0.5077,0.0224,3.25,2.9,-0.35,8.7,7.4,-1.3,0.3605,0.3885,0.028,3.95,4.45,0.5,4.475,4.7,0.225,0.8302,0.9524,0.1222,0.95,1.05,0.1,4.15,3.95,-0.2,5.1,5.0,-0.1,5.275,6.0,0.725,1.025,1.25,0.225,0.825,0.6,-0.225,2.275,1.85,-0.425,2.725,2.8,0.075,27.1,26.95,-0.15,3.2,4.8,1.6,0.6037,0.6336,0.0299,162.6659,149.6084,-13.0575
1626156,D'Angelo Russell,2022-23,2023-02-09,MIN,LAL,54,17,32.963,31.0,-1.963,6.2593,6.2941,0.0349,13.463,13.0,-0.463,0.4592,0.4788,0.0196,2.7407,2.7059,-0.0349,7.0185,6.5294,-0.4891,0.3711,0.3873,0.0162,2.6481,2.1176,-0.5305,3.0926,2.8824,-0.2102,0.6048,0.5596,-0.0451,0.5185,0.4118,-0.1068,2.537,2.5294,-0.0076,3.0556,2.9412,-0.1144,6.1852,6.0588,-0.1264,1.1111,0.5882,-0.5229,0.3889,0.4706,0.0817,2.7222,2.2941,-0.4281,2.1667,1.3529,-0.8137,17.9074,17.4118,-0.4956,-1.0556,8.4118,9.4673,0.604,0.6102,0.0061,125.8002,125.8091,0.0089
201144,Mike Conley,2022-23,2023-02-09,UTA,MIN,43,24,29.6279,31.3333,1.7054,3.5581,4.5,0.9419,8.7209,9.7917,1.0707,0.4013,0.4436,0.0423,1.7907,2.4167,0.626,4.9535,5.75,0.7965,0.3185,0.3974,0.0789,1.814,2.625,0.811,2.2326,3.0417,0.8091,0.5715,0.6368,0.0653,0.3953,0.6667,0.2713,2.093,2.4583,0.3653,2.4884,3.125,0.6366,7.6744,5.0,-2.6744,1.0233,1.2083,0.1851,0.2326,0.1667,-0.0659,1.7209,1.2083,-0.5126,2.186,1.875,-0.311,10.7209,14.0417,3.3207,0.6744,1.3333,0.6589,0.5524,0.6308,0.0784,91.6069,93.0639,1.457
1627751,Jakob Poeltl,2022-23,2023-02-09,SAS,TOR,46,26,26.1522,27.1154,0.9632,5.1957,5.7692,0.5736,8.4348,8.8462,0.4114,0.6117,0.6437,0.032,0.0,0.0,0.0,0.0217,0.0,-0.0217,0.0,0.0,0.0,1.6957,1.5769,-0.1187,2.8043,2.7692,-0.0351,0.4054,0.3467,-0.0587,3.3043,3.2308,-0.0736,5.7391,5.8846,0.1455,9.0435,9.1154,0.0719,3.0652,2.1538,-0.9114,0.7826,1.1538,0.3712,1.1304,1.3077,0.1773,2.087,1.1154,-0.9716,2.5652,2.9615,0.3963,12.087,13.1154,1.0284,-5.7826,4.7308,10.5134,0.6251,0.6516,0.0265,105.6944,101.1292,-4.5652
1630180,Saddiq Bey,2022-23,2023-02-09,DET,ATL,52,25,28.8269,25.16,-3.6669,4.7115,4.32,-0.3915,11.6538,9.2,-2.4538,0.3887,0.4409,0.0522,1.9423,2.0,0.0577,5.6346,5.0,-0.6346,0.3027,0.3464,0.0437,3.4615,1.0,-2.4615,4.0192,1.16,-2.8592,0.7578,0.5,-0.2578,1.1346,1.56,0.4254,3.5192,3.24,-0.2792,4.6538,4.8,0.1462,1.6154,1.36,-0.2554,0.9615,0.8,-0.1615,0.2308,0.04,-0.1908,1.0385,0.68,-0.3585,1.6538,1.48,-0.1738,14.8269,11.64,-3.1869,-4.75,4.0,8.75,0.5523,0.5994,0.047,120.5385,97.5911,-22.9474
1626196,Josh Richardson,2022-23,2023-02-09,SAS,NOP,42,23,23.7857,23.2174,-0.5683,4.2143,2.6957,-1.5186,9.6667,6.4348,-3.2319,0.4188,0.4412,0.0225,1.7619,1.4348,-0.3271,4.9286,3.7391,-1.1894,0.3347,0.3931,0.0584,1.2619,0.6957,-0.5663,1.4286,0.913,-0.5155,0.5121,0.3188,-0.1933,0.7143,0.4783,-0.236,2.119,1.9565,-0.1625,2.8333,2.4348,-0.3986,3.2619,1.6087,-1.6532,0.9524,1.2609,0.3085,0.2619,0.3913,0.1294,1.5,1.0,-0.5,1.6667,2.0435,0.3768,11.4524,7.5217,-3.9306,-3.0952,-1.0435,2.0518,0.5562,0.5501,-0.0061,116.6014,81.3484,-35.253
201935,James Harden,2021-22,2022-02-10,BKN,PHI,44,21,36.9545,37.7619,0.8074,6.6364,5.4762,-1.1602,16.0455,13.619,-2.4264,0.413,0.4085,-0.0044,2.3182,2.1905,-0.1277,6.9773,6.7143,-0.263,0.315,0.3181,0.003,6.9091,7.9048,0.9957,7.9545,8.8571,0.9026,0.8746,0.8902,0.0156,0.9545,0.619,-0.3355,7.0227,6.4762,-0.5465,7.9773,7.0952,-0.882,10.1591,10.4762,0.3171,1.2727,1.2381,-0.0346,0.7045,0.2381,-0.4665,4.8182,3.4286,-1.3896,2.3864,2.2857,-0.1006,22.5,21.0476,-1.4524,0.5682,7.1429,6.5747,0.5756,0.6008,0.0252,159.1839,137.6453,-21.5386
