TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,EFG_PCT,TS_PCT,TM_TOV_PCT,TEAM_ABBREVIATION,season
1610612766,Charlotte Hornets,82,36,46,0.439,108.4,108.4,0.0,95.92,0.505,0.611,2.01,17.6,0.247,0.749,0.496,0.501,0.547,0.119,CHA,2016-17
1610612741,Chicago Bulls,82,41,41,0.5,106.5,106.2,0.3,96.02,0.504,0.584,1.66,16.8,0.311,0.733,0.519,0.487,0.53,0.14,CHI,2016-17
1610612739,Cleveland Cavaliers,82,51,31,0.622,112.8,109.7,3.1,96.74,0.51,0.567,1.66,17.1,0.264,0.722,0.499,0.547,0.58,0.14,CLE,2016-17
1610612742,Dallas Mavericks,82,33,49,0.402,104.7,107.7,-3.0,93.11,0.479,0.574,1.75,16.8,0.216,0.733,0.465,0.505,0.541,0.127,DAL,2016-17
1610612743,Denver Nuggets,82,40,42,0.488,112.2,111.7,0.4,99.18,0.503,0.615,1.69,18.2,0.314,0.753,0.532,0.53,0.568,0.15,DEN,2016-17
1610612765,Detroit Pistons,82,37,45,0.451,105.3,106.7,-1.4,95.52,0.482,0.53,1.78,16.1,0.286,0.775,0.519,0.492,0.521,0.123,DET,2016-17
1610612744,Golden State Warriors,82,67,15,0.817,114.8,103.4,11.4,100.37,0.579,0.705,2.06,21.2,0.272,0.709,0.504,0.563,0.597,0.146,GSW,2016-17
1610612745,Houston Rockets,82,55,27,0.671,114.1,108.4,5.7,100.55,0.516,0.626,1.67,18.1,0.281,0.717,0.499,0.545,0.583,0.15,HOU,2016-17
1610612754,Indiana Pacers,82,42,40,0.512,107.9,108.1,-0.2,96.59,0.505,0.572,1.63,17.2,0.255,0.713,0.488,0.516,0.558,0.141,IND,2016-17
1610612746,LA Clippers,82,51,31,0.622,111.8,107.5,4.4,96.77,0.527,0.57,1.74,17.2,0.256,0.733,0.501,0.537,0.574,0.133,LAC,2016-17
1610612747,Los Angeles Lakers,82,26,56,0.317,105.3,112.0,-6.7,99.26,0.446,0.532,1.38,15.6,0.284,0.717,0.494,0.501,0.537,0.153,LAL,2016-17
1610612763,Memphis Grizzlies,82,43,39,0.524,107.0,106.5,0.5,92.84,0.501,0.584,1.65,16.5,0.295,0.731,0.507,0.491,0.535,0.137,MEM,2016-17
1610612748,Miami Heat,82,41,41,0.5,107.4,106.4,1.0,95.51,0.5,0.544,1.58,16.3,0.284,0.718,0.499,0.512,0.541,0.14,MIA,2016-17
1610612749,Milwaukee Bucks,82,42,40,0.512,108.5,108.7,-0.2,94.99,0.504,0.624,1.73,18.5,0.26,0.706,0.487,0.527,0.565,0.146,MIL,2016-17
1610612750,Minnesota Timberwolves,82,31,51,0.378,110.0,110.9,-0.9,95.48,0.501,0.6,1.69,17.7,0.309,0.71,0.507,0.511,0.555,0.146,MIN,2016-17
1610612740,New Orleans Pelicans,82,34,48,0.415,104.7,106.8,-2.1,98.56,0.493,0.582,1.77,17.1,0.228,0.728,0.48,0.504,0.539,0.129,NOP,2016-17
1610612752,New York Knicks,82,31,51,0.378,107.1,110.7,-3.6,96.63,0.482,0.551,1.57,16.3,0.305,0.698,0.5,0.496,0.534,0.143,NYK,2016-17
1610612760,Oklahoma City Thunder,82,47,35,0.573,107.9,107.1,0.8,98.18,0.499,0.532,1.4,15.5,0.323,0.742,0.528,0.5,0.54,0.152,OKC,2016-17
1610612753,Orlando Magic,82,29,53,0.354,103.7,110.3,-6.5,96.9,0.46,0.58,1.67,16.8,0.267,0.726,0.491,0.489,0.524,0.137,ORL,2016-17
1610612755,Philadelphia 76ers,82,28,54,0.341,102.7,108.2,-5.5,99.07,0.47,0.631,1.43,17.4,0.273,0.709,0.49,0.501,0.539,0.167,PHI,2016-17
1610612756,Phoenix Suns,82,24,58,0.293,106.1,111.3,-5.2,100.85,0.462,0.491,1.27,14.4,0.299,0.718,0.503,0.493,0.538,0.152,PHX,2016-17
1610612757,Portland Trail Blazers,82,41,41,0.5,109.4,110.0,-0.6,97.38,0.493,0.534,1.54,16.0,0.269,0.72,0.496,0.52,0.559,0.139,POR,2016-17
1610612758,Sacramento Kings,82,32,50,0.39,106.6,110.8,-4.2,95.42,0.478,0.594,1.54,17.3,0.258,0.723,0.492,0.516,0.556,0.152,SAC,2016-17
1610612759,San Antonio Spurs,82,61,21,0.744,110.3,102.9,7.4,94.86,0.551,0.606,1.77,18.1,0.282,0.73,0.511,0.524,0.564,0.141,SAS,2016-17
1610612761,Toronto Raptors,82,51,31,0.622,111.4,107.1,4.3,95.41,0.516,0.472,1.46,14.5,0.291,0.717,0.505,0.517,0.561,0.132,TOR,2016-17
1610612762,Utah Jazz,82,51,31,0.622,109.0,104.7,4.3,92.09,0.534,0.544,1.48,16.2,0.27,0.743,0.514,0.526,0.563,0.148,UTA,2016-17
1610612764,Washington Wizards,82,49,33,0.598,110.4,108.8,1.7,97.94,0.511,0.577,1.68,17.6,0.286,0.716,0.501,0.528,0.564,0.143,WAS,2016-17
1610612737,Atlanta Hawks,82,24,58,0.293,104.4,110.1,-5.7,98.76,0.468,0.622,1.53,17.6,0.263,0.719,0.489,0.512,0.547,0.157,ATL,2017-18
1610612738,Boston Celtics,82,55,27,0.671,106.8,103.2,3.6,96.75,0.519,0.586,1.6,17.0,0.263,0.739,0.504,0.518,0.552,0.144,BOS,2017-18
1610612751,Brooklyn Nets,82,28,54,0.341,106.1,109.7,-3.6,99.66,0.474,0.619,1.56,17.3,0.251,0.731,0.489,0.514,0.551,0.151,BKN,2017-18
1610612766,Charlotte Hornets,82,36,46,0.439,109.0,109.0,-0.1,98.66,0.5,0.554,1.7,16.1,0.271,0.763,0.512,0.508,0.549,0.128,CHA,2017-18
1610612741,Chicago Bulls,82,27,55,0.329,103.4,110.5,-7.0,98.65,0.453,0.607,1.68,17.3,0.256,0.767,0.5,0.497,0.529,0.141,CHI,2017-18
1610612739,Cleveland Cavaliers,82,50,32,0.61,112.0,111.1,1.0,98.72,0.502,0.579,1.7,17.5,0.243,0.73,0.492,0.547,0.584,0.139,CLE,2017-18
1610612742,Dallas Mavericks,82,24,58,0.293,105.4,108.4,-2.9,96.53,0.475,0.594,1.85,17.3,0.224,0.749,0.478,0.513,0.544,0.127,DAL,2017-18
1610612743,Denver Nuggets,82,46,36,0.561,111.4,110.0,1.4,97.69,0.511,0.617,1.68,18.2,0.3,0.736,0.517,0.536,0.57,0.151,DEN,2017-18
1610612765,Detroit Pistons,82,39,43,0.476,106.6,106.7,-0.1,96.75,0.489,0.582,1.7,17.1,0.269,0.74,0.499,0.512,0.543,0.138,DET,2017-18
1610612744,Golden State Warriors,82,58,24,0.707,112.8,106.8,5.9,100.35,0.554,0.685,1.9,20.9,0.243,0.712,0.497,0.569,0.603,0.153,GSW,2017-18
1610612745,Houston Rockets,82,65,17,0.793,114.1,105.7,8.4,98.02,0.531,0.557,1.56,16.4,0.254,0.75,0.503,0.551,0.59,0.141,HOU,2017-18
1610612754,Indiana Pacers,82,48,34,0.585,108.5,107.3,1.3,96.84,0.509,0.544,1.67,16.8,0.271,0.721,0.496,0.525,0.557,0.136,IND,2017-18
1610612746,LA Clippers,82,42,40,0.512,109.4,109.2,0.2,99.54,0.497,0.555,1.52,16.5,0.284,0.718,0.504,0.527,0.564,0.147,LAC,2017-18
1610612747,Los Angeles Lakers,82,35,47,0.427,106.0,107.3,-1.3,100.9,0.491,0.584,1.51,17.0,0.279,0.729,0.505,0.517,0.548,0.155,LAL,2017-18
