player_id,player_name,season,trade_date,team_from,team_to,pre_games,post_games,shift_bucket,pre_min,pre_pts,pre_reb,pre_ast,pre_stl,pre_blk,pre_tov,pre_fg_pct,pre_fg3_pct,pre_ft_pct,pre_ts_pct,pre_usg_rate,pre_plus_minus,pre_pts_per_min,pre_ast_per_min,pre_reb_per_min,pre_tov_per_min,team_from_off_rating,team_to_off_rating,team_from_def_rating,team_to_def_rating,team_from_net_rating,team_to_net_rating,team_from_pace,team_to_pace,team_from_ts_pct,team_to_ts_pct,team_from_efg_pct,team_to_efg_pct,team_from_ast_pct,team_to_ast_pct,team_from_tm_tov_pct,team_to_tm_tov_pct,team_from_reb_pct,team_to_reb_pct,delta_team_off_rating,delta_team_def_rating,delta_team_net_rating,delta_team_pace,delta_team_ts_pct,delta_team_efg_pct,delta_team_ast_pct,delta_team_tm_tov_pct,delta_team_reb_pct,shift_magnitude,delta_pts,delta_ts_pct,delta_usg_rate,post_pts,post_ts_pct,post_usg_rate
1629655,Daniel Gafford,2023-24,2024-02-08,WAS,DAL,45,29,medium_shift,26.4444,10.8889,8.0222,1.5333,0.9778,2.1556,1.0222,0.7067,0.0,0.5892,0.7074,76.7745,-4.1333,0.4118,0.058,0.3034,0.0387,110.2,117.0,118.9,114.9,-8.7,2.1,103.07,100.6,0.567,0.592,0.538,0.562,0.65,0.596,0.136,0.124,0.459,0.485,6.799999999999997,-4.0,10.799999999999999,-2.469999999999999,0.025000000000000022,0.02400000000000002,-0.05400000000000005,-0.01200000000000001,0.025999999999999968,1.8612611848286833,0.2835,0.0617,14.7561,11.1724,0.7691,91.5306
1629023,P.J. Washington,2023-24,2024-02-08,CHA,DAL,44,29,medium_shift,29.25,13.6364,5.2727,2.2045,0.8636,0.7273,1.5,0.4138,0.3,0.4459,0.5451,117.5125,-6.5682,0.4662,0.0754,0.1803,0.0513,108.6,117.0,119.2,114.9,-10.6,2.1,97.81,100.6,0.56,0.592,0.529,0.562,0.62,0.596,0.14,0.124,0.475,0.485,8.400000000000006,-4.299999999999997,12.7,2.789999999999992,0.03199999999999992,0.03300000000000003,-0.02400000000000002,-0.016000000000000014,0.010000000000000009,2.161782299106557,-1.9467,-0.0227,-26.882,11.6897,0.5224,90.6305
202330,Gordon Hayward,2023-24,2024-02-08,CHA,OKC,25,26,large_shift,31.92,14.48,4.68,4.64,1.12,0.48,2.04,0.4531,0.3233,0.5869,0.5441,117.9639,-5.32,0.4536,0.1454,0.1466,0.0639,108.6,118.3,119.2,111.0,-10.6,7.3,97.81,100.85,0.56,0.608,0.529,0.573,0.62,0.609,0.14,0.125,0.475,0.484,9.700000000000003,-8.200000000000003,17.9,3.039999999999992,0.04799999999999993,0.04399999999999993,-0.01100000000000001,-0.015000000000000013,0.009000000000000008,3.326204885757047,-9.1723,0.0161,-44.7368,5.3077,0.5602,73.227
202681,Kyrie Irving,2022-23,2023-02-06,BKN,DAL,40,20,small_shift,36.925,27.1,5.1,5.275,1.025,0.825,2.275,0.4854,0.3605,0.8302,0.6037,162.6659,3.2,0.7339,0.1429,0.1381,0.0616,114.6,115.9,113.5,116.1,1.1,-0.2,98.77,97.21,0.598,0.599,0.562,0.565,0.616,0.573,0.139,0.124,0.472,0.471,1.3000000000000114,2.5999999999999943,-1.3,-1.5600000000000023,0.0010000000000000009,0.0029999999999998916,-0.04300000000000004,-0.015000000000000013,-0.0010000000000000009,1.684978169254422,-0.15,0.0299,-13.0575,26.95,0.6336,149.6084
1626156,D'Angelo Russell,2022-23,2023-02-09,MIN,LAL,54,17,small_shift,32.963,17.9074,3.0556,6.1852,1.1111,0.3889,2.7222,0.4592,0.3711,0.6048,0.604,125.8002,-1.0556,0.5433,0.1876,0.0927,0.0826,113.3,113.9,113.1,113.2,0.2,0.7,101.55,101.92,0.592,0.582,0.56,0.542,0.61,0.589,0.15,0.137,0.485,0.505,0.6000000000000085,0.10000000000000853,0.49999999999999994,0.37000000000000455,-0.010000000000000009,-0.018000000000000016,-0.02100000000000002,-0.012999999999999984,0.020000000000000018,1.3402900229255887,-0.4956,0.0061,0.0089,17.4118,0.6102,125.8091
201144,Mike Conley,2022-23,2023-02-09,UTA,MIN,43,24,small_shift,29.6279,10.7209,2.4884,7.6744,1.0233,0.2326,1.7209,0.4013,0.3185,0.5715,0.5524,91.6069,0.6744,0.3619,0.259,0.084,0.0581,115.3,113.3,116.0,113.1,-0.7,0.2,101.02,101.55,0.584,0.592,0.547,0.56,0.611,0.61,0.151,0.15,0.512,0.485,-2.0,-2.9000000000000057,0.8999999999999999,0.5300000000000011,0.008000000000000007,0.013000000000000012,-0.0010000000000000009,-0.0010000000000000009,-0.027000000000000024,1.3340198567505552,3.3207,0.0784,1.457,14.0417,0.6308,93.0639
1627751,Jakob Poeltl,2022-23,2023-02-09,SAS,TOR,46,26,large_shift,26.1522,12.087,9.0435,3.0652,0.7826,1.1304,2.087,0.6117,0.0,0.4054,0.6251,105.6944,-5.7826,0.4622,0.1172,0.3458,0.0798,109.7,114.6,119.6,113.1,-9.9,1.5,102.07,97.85,0.554,0.555,0.525,0.517,0.632,0.571,0.148,0.118,0.495,0.502,4.8999999999999915,-6.5,11.4,-4.219999999999999,0.0010000000000000009,-0.008000000000000007,-0.061000000000000054,-0.03,0.007000000000000006,2.56749219982644,1.0284,0.0265,-4.5652,13.1154,0.6516,101.1292
1630180,Saddiq Bey,2022-23,2023-02-09,DET,ATL,52,25,small_shift,28.8269,14.8269,4.6538,1.6154,0.9615,0.2308,1.0385,0.3887,0.3027,0.7578,0.5523,120.5385,-4.75,0.5143,0.056,0.1614,0.036,109.9,115.5,117.8,115.4,-7.9,0.1,99.88,101.56,0.561,0.579,0.52,0.541,0.581,0.56,0.15,0.126,0.491,0.5,5.599999999999994,-2.3999999999999915,8.0,1.6800000000000068,0.017999999999999905,0.02100000000000002,-0.020999999999999908,-0.023999999999999994,0.009000000000000008,1.0480198107978205,-3.1869,0.047,-22.9474,11.64,0.5994,97.5911
1626196,Josh Richardson,2022-23,2023-02-09,SAS,NOP,42,23,medium_shift,23.7857,11.4524,2.8333,3.2619,0.9524,0.2619,1.5,0.4188,0.3347,0.5121,0.5562,116.6014,-3.0952,0.4815,0.1371,0.1191,0.0631,109.7,113.8,119.6,112.0,-9.9,1.9,102.07,99.58,0.554,0.582,0.525,0.543,0.632,0.616,0.148,0.145,0.495,0.512,4.099999999999994,-7.599999999999994,11.8,-2.489999999999995,0.027999999999999914,0.018000000000000016,-0.016000000000000014,-0.0030000000000000027,0.017000000000000015,2.187663183757623,-3.9306,-0.0061,-35.253,7.5217,0.5501,81.3484
201935,James Harden,2021-22,2022-02-10,BKN,PHI,44,21,small_shift,36.9545,22.5,7.9773,10.1591,1.2727,0.7045,4.8182,0.413,0.315,0.8746,0.5756,159.1839,0.5682,0.6089,0.2749,0.2159,0.1304,113.2,113.0,112.3,110.2,0.9,2.8,99.4,96.71,0.576,0.578,0.54,0.534,0.602,0.602,0.141,0.129,0.499,0.49,-0.20000000000000284,-2.0999999999999943,1.9,-2.690000000000012,0.0020000000000000018,-0.006000000000000005,0.0,-0.011999999999999983,-0.009000000000000008,1.4127072683150215,-1.4524,0.0252,-21.5386,21.0476,0.6008,137.6453
1630169,Tyrese Haliburton,2021-22,2022-02-08,SAC,IND,51,26,small_shift,34.4314,14.2549,3.902,7.4314,1.6863,0.6667,2.2549,0.4475,0.4009,0.4902,0.5754,101.9609,-4.4118,0.414,0.2158,0.1133,0.0655,109.6,111.9,114.8,115.5,-5.2,-3.6,100.1,98.55,0.561,0.564,0.525,0.531,0.585,0.612,0.14,0.145,0.484,0.512,2.3000000000000114,0.7000000000000028,1.6,-1.5499999999999972,0.0029999999999998916,0.006000000000000005,0.027000000000000024,0.004999999999999977,0.028000000000000025,1.4034875669873508,3.2066,0.0537,13.2863,17.4615,0.6291,115.2473
